Match,Date,Match No.,Runs,Balls,Mins,4s,6s,Ct,St
India in Bangladesh 2015 (2nd ODI),21st June 2015,264,47,75,112,3,-,1,0
India in Bangladesh 2015 (1st ODI),18th June 2015,263,5,7,13,-,-,0,0
ICC World Cup 2014/15 (Semi-Final),26th March 2015,262,65,65,94,3,2,0,0
ICC World Cup 2014/15 (Quarter-Final),19th March 2015,261,6,11,0,-,-,4,0
ICC World Cup 2014/15 (Pool B),14th March 2015,260,85,76,113,8,2,2,0
,,259,NaN,,,,,2,0
,,258,45,56,96,3,1,2,0
,,257,NaN,,,,,2,0
,,256,18,11,22,3,-,0,0
,,255,18,13,22,1,1,3,0
Carlton Mid ODI Tri-Series 2014/15,30th January 2015,254,17,32,38,3,-,0,0
,,253,NaN,,,,,0,0
,,252,34,61,69,1,-,0,0
,,251,19,31,40,2,-,2,0
West Indies in India 2014/15 (4th ODI),17th October 2014,250,6,5,0,-,-,0,0
West Indies in India 2014/15 (2nd ODI),11th October 2014,249,51,40,66,5,1,0,1
West Indies in India 2014/15 (1st ODI),8th October 2014,248,8,21,36,-,-,0,0
India in England 2014 (5th ODI),5th September 2014,247,29,42,63,1,1,1,1
India in England 2014 (4th ODI),2nd September 2014,246,NaN,,,,,0,0
India in England 2014 (3rd ODI),30th August 2014,245,NaN,,,,,2,2
India in England 2014 (2nd ODI),27th August 2014,244,52,51,94,6,-,0,1
India in New Zealand 2013/14 (5th ODI),31st January 2014,243,47,72,79,3,-,0,0
India in New Zealand 2013/14 (4th ODI),28th January 2014,242,79,73,111,6,3,0,0
India in New Zealand 2013/14 (3rd ODI),25th January 2014,241,50,60,79,2,3,0,0
India in New Zealand 2013/14 (2nd ODI),22nd January 2014,240,56,44,81,7,1,2,1
India in New Zealand 2013/14 (1st ODI),19th January 2014,239,40,46,73,2,2,2,0
India in South Africa 2013/14 (3rd ODI),11th December 2013,238,NaN,,,,,0,0
India in South Africa 2013/14 (2nd ODI),8th December 2013,237,19,31,43,-,-,1,1
India in South Africa 2013/14 (1st ODI),5th December 2013,236,65,71,125,8,1,0,0
West Indies in India 2013/14 (3rd ODI),27th November 2013,235,23,23,48,3,-,1,0
West Indies in India 2013/14 (2nd ODI),24th November 2013,234,51,40,57,3,4,3,1
West Indies in India 2013/14 (1st ODI),21st November 2013,233,13,7,12,3,-,0,1
Australia in India 2013/14 (7th ODI),2nd November 2013,232,62,38,73,7,2,0,0
Australia in India 2013/14 (6th ODI),30th October 2013,231,25,23,35,2,-,0,0
Australia in India 2013/14 (4th ODI),23rd October 2013,230,NaN,,,,,1,1
Australia in India 2013/14 (3rd ODI),19th October 2013,229,139,121,169,12,5,1,0
Australia in India 2013/14 (2nd ODI),16th October 2013,228,NaN,,,,,1,0
Australia in India 2013/14 (1st ODI),13th October 2013,227,19,22,52,2,-,0,0
Celkon Mobile Cup 2013 (Final),11th July 2013,226,45,52,98,5,2,1,3
Celkon Mobile Cup 2013,30th June 2013,225,27,35,66,1,-,0,0
ICC Champions Trophy 2013 (Final),23rd June 2013,224,0,4,3,-,-,0,2
ICC Champions Trophy 2013 (Semi-Final),20th June 2013,223,NaN,,,,,0,1
ICC Champions Trophy 2013 (Group B),15th June 2013,222,NaN,,,,,2,0
,,221,NaN,,,,,1,1
,,220,27,26,42,3,-,2,0
England in India 2012/13 (5th ODI),27th January 2013,219,15,23,38,2,-,0,0
England in India 2012/13 (4th ODI),23rd January 2013,218,19,21,49,2,-,0,0
England in India 2012/13 (3rd ODI),19th January 2013,217,10,12,12,2,-,3,0
England in India 2012/13 (2nd ODI),15th January 2013,216,72,66,117,7,2,3,0
England in India 2012/13 (1st ODI),11th January 2013,215,32,25,54,-,4,0,0
Pakistan in India 2012/13 (3rd ODI),6th January 2013,214,36,55,77,1,3,1,1
Pakistan in India 2012/13 (2nd ODI),3rd January 2013,213,54,89,121,4,1,0,1
Pakistan in India 2012/13 (1st ODI),30th December 2012,212,113,125,177,7,3,0,0
India in Sri Lanka 2012 (5th ODI),4th August 2012,211,58,38,57,8,1,1,0
India in Sri Lanka 2012 (4th ODI),31st July 2012,210,NaN,,,,,2,1
India in Sri Lanka 2012 (3rd ODI),28th July 2012,209,31,49,60,1,-,1,0
India in Sri Lanka 2012 (2nd ODI),24th July 2012,208,11,16,26,2,-,1,0
India in Sri Lanka 2012 (1st ODI),21st July 2012,207,35,29,49,3,1,1,0
Micromax Asia Cup 2011/12,18th March 2012,206,4,1,4,1,-,0,0
,,205,21,11,20,2,-,0,1
,,204,46,26,38,6,1,1,0
Commonwealth Bank Series 2011/12,28th February 2012,203,NaN,,,,,0,0
,,202,14,49,68,-,-,2,1
,,201,56,84,115,2,1,0,0
,,200,58,69,113,3,1,2,0
,,199,44,58,76,-,1,0,0
,,198,4,5,6,1,-,1,2
,,197,29,38,61,1,-,0,0
England in India 2011/12 (5th ODI),25th October 2011,196,75,69,103,3,4,3,0
England in India 2011/12 (4th ODI),23rd October 2011,195,15,18,,1,1,0,0
